,시도,우편번호,법정동주소,Latitude,Longitude,도로명주소,사용승인일,동수,세대수,최고층수,단지명
120,부산광역시,47297.0,부산광역시 부산진구 전포동 693-2 몽뜨레,35.1535614,129.0635744,부산광역시 부산진구 전포대로 189,20131226.0,1,264,13,몽뜨레
121,부산광역시,47240.0,"부산광역시 부산진구 전포동 903,부산광역시 부산진구 전포동 188-9 부산전포동 사랑으로 부영아파트",35.1580711999999,129.0688728,부산광역시 부산진구 동성로 82,20181130.0,8,500,24,부산전포동 사랑으로 부영아파트
122,부산광역시,47237.0,부산광역시 부산진구 전포동 181-1 서면대우디오빌2,35.1609732,129.0658096,부산광역시 부산진구 전포대로 274,20050526.0,1,751,30,서면대우디오빌2
123,부산광역시,47241.0,부산광역시 부산진구 전포동 587 서면롯데캐슬스카이,35.1622328,129.0645928,부산광역시 부산진구 전포대로275번길 20,20041218.0,9,1395,38,서면롯데캐슬스카이
124,부산광역시,47243.0,부산광역시 부산진구 전포동 878-26 서면삼정코아,35.1608331,129.0626274,부산광역시 부산진구 동천로 134,20040127.0,1,235,15,서면삼정코아
125,부산광역시,47298.0,부산광역시 부산진구 전포동 880-1 서면세종그랑시아,35.1519671,129.0643647,부산광역시 부산진구 전포대로171번길 12,20091019.0,2,290,35,서면세종그랑시아
126,부산광역시,47294.0,부산광역시 부산진구 전포동 683-11 서면쌍용플래티넘,35.154865,129.062732,부산광역시 부산진구 동천로 70,20040826.0,1,432,19,서면쌍용플래티넘
127,부산광역시,47309.0,부산광역시 부산진구 전포동 268 서면아이파크아파트,35.1563875,129.0698906,부산광역시 부산진구 동성로 50,20201016.0,27,2144,30,서면아이파크아파트
128,부산광역시,47299.0,부산광역시 부산진구 전포동 892-21 서면유림노르웨이아침,35.1499419,129.0634143,부산광역시 부산진구 동천로 10-1,20041001.0,1,512,27,서면유림노르웨이아침
129,부산광역시,47236.0,부산광역시 부산진구 전포동 170-1 서면한신,35.1627931,129.0663794,부산광역시 부산진구 전포대로 294,19970913.0,5,705,26,서면한신
130,부산광역시,47234.0,부산광역시 부산진구 전포동 9 양정메트로하이츠,35.1669741,129.0693087,부산광역시 부산진구 진남로 477,20060530.0,4,258,25,양정메트로하이츠
131,부산광역시,47215.0,부산광역시 부산진구 전포동 116 전포LH아파트,35.1575101,129.0710937,부산광역시 부산진구 중앙대로 861,20161013.0,2,794,28,전포LH아파트
132,부산광역시,47231.0,부산광역시 부산진구 전포동 190-25 전포대동파크맨션아파트,35.1610781,129.0708628,부산광역시 부산진구 진남로 404,20000401.0,1,173,15,전포대동파크맨션아파트
133,부산광역시,47241.0,부산광역시 부산진구 전포동 876-4 전포동 에메랄드홈,35.1617766,129.0631698,부산광역시 부산진구 중앙대로 786,20060703.0,2,241,28,전포동 에메랄드홈
134,부산광역시,47312.0,부산광역시 부산진구 전포동 326 전포시영,35.1554653,129.0722051,부산광역시 부산진구 진남로 336,19780831.0,8,400,5,전포시영
135,부산광역시,47298.0,부산광역시 부산진구 전포동 890-1 전포한일유앤아이,35.1513632,129.0645878,부산광역시 부산진구 전포대로171번길 13,20060926.0,1,178,15,전포한일유앤아이
136,부산광역시,47231.0,부산광역시 부산진구 전포동 191-661 전포화신아파트,35.1599128,129.0720519,부산광역시 부산진구 진남로356번길 90,19930223.0,2,268,15,전포화신아파트
137,부산광역시,47306.0,부산광역시 부산진구 전포동 362-64 한라비발디,35.1505147,129.0662433,부산광역시 부산진구 전포대로 156,20050826.0,2,511,35,한라비발디
