매장명,구,주소,위도,경도
스타벅스상암디지털큐브,마포구,서울특별시 마포구 상암산로 34,37.57613521806125,126.88892643460336
스타벅스상수역,마포구,서울특별시 마포구 독막로 88 (상수동),37.5474817,126.92321579999998
스타벅스공덕오거리,마포구,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,37.5424641,126.95057730000008
스타벅스서강대,마포구,서울특별시 마포구 백범로 23 (신수동),37.5524584,126.9378262
스타벅스상암MBC,마포구,서울특별시 마포구 성암로 267 (상암동),37.58094223885055,126.89158543354138
스타벅스홍대역,마포구,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",37.557175,126.923654
스타벅스동교,마포구,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",37.556928,126.919819
스타벅스애오개역,마포구,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",37.5523207784261,126.955694482104
스타벅스상암DMC,마포구,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",37.57770031657981,126.8909363638002
스타벅스마포일진빌딩,마포구,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",37.54043451,126.9463168
스타벅스마포아크로,마포구,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,37.5413348427548,126.948866602054
스타벅스홍대삼거리,마포구,서울특별시 마포구 와우산로 64 (상수동),37.55024764,126.9232823
스타벅스망원역,마포구,서울특별시 마포구 월드컵로 74 (서교동),37.555829,126.910637
스타벅스마포이마트,마포구,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,37.542421,126.953341
스타벅스합정메세나몰,마포구,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",37.55005846963587,126.91355876250871
스타벅스아현역대로,마포구,서울특별시 마포구 신촌로 262 (아현동),37.557097,126.954834
스타벅스디지털미디어시티역,마포구,서울특별시 마포구 성암로 179 (상암동),37.57614872684475,126.89894785452836
스타벅스홍대역8번출구,마포구,서울특별시 마포구 양화로 166 (동교동),37.556743503599,126.924166543608
스타벅스합정푸르지오,마포구,"서울특별시 마포구 월드컵로3길 14 (합정동, 마포 한강 2차 푸르지오)",37.55094290761422,126.9124826592047
스타벅스홍대동교,마포구,서울특별시 마포구 양화로 192 (동교동),37.5583280533329,126.926246501876
스타벅스망원한강공원,마포구,서울특별시 마포구 마포나루길 435 (망원동),37.55397484916793,126.89592784171349
스타벅스마포구청역,마포구,서울특별시 마포구 월드컵로 200 (성산동) 1층 일부,37.5649569864623,126.902554646241
스타벅스가재울뉴타운,서대문구,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이2단지별동상가1층)",37.57507214454173,126.91635993282009
스타벅스남가좌사거리,서대문구,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",37.577386,126.920815
